City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Goundam,ML,2022-01-26 01:17:22,16.4145,-3.6708,66.97,13,100,10.49
162,Biak,ID,2022-01-26 01:17:23,-0.9131,122.8766,81.97,74,96,5.06
163,Phek,IN,2022-01-26 01:17:23,25.6667,94.5,35.64,98,55,1.95
164,Port Alfred,ZA,2022-01-26 01:17:24,-33.5906,26.891,72.01,85,100,10.87
165,Abay,KZ,2022-01-26 01:17:24,49.6311,72.8539,8.98,92,100,7.49
166,Tessaoua,NE,2022-01-26 01:17:25,13.7574,7.9874,58.37,20,0,15.37
167,Port Hueneme,US,2022-01-26 01:17:25,34.1478,-119.1951,69.15,70,0,5.75
168,Solenzo,BF,2022-01-26 01:17:26,12.1833,-4.0833,69.51,14,100,7.83
169,Namatanai,PG,2022-01-26 01:17:26,-3.6667,152.4333,85.64,67,74,5.77
170,Tank,PK,2022-01-26 01:17:27,32.2217,70.3793,49.42,34,0,5.86
171,Bathsheba,BB,2022-01-26 01:17:27,13.2167,-59.5167,74.01,83,20,6.91
172,Qinhuangdao,CN,2022-01-26 01:17:27,39.9317,119.5883,24.33,50,100,5.01
173,Vardo,NO,2022-01-26 01:17:28,70.3705,31.1107,29.57,75,26,24.34
174,Paka,MY,2022-01-26 01:17:28,4.6374,103.4368,76.93,88,20,0.0
175,Victoria,HK,2022-01-26 01:17:29,22.2855,114.1577,67.24,87,99,1.01
176,Ribeira Brava,PT,2022-01-26 01:17:29,32.65,-17.0667,61.43,54,24,7.92
177,Cabo San Lucas,MX,2022-01-26 01:17:30,22.8909,-109.9124,70.52,54,40,4.0
178,Lamu,KE,2022-01-26 01:17:30,-2.2717,40.902,79.02,83,16,16.15
179,East London,ZA,2022-01-26 01:17:10,-33.0153,27.9116,72.36,85,100,3.94
180,Onega,RU,2022-01-26 01:17:31,63.9061,38.1404,2.62,97,64,3.53
181,Lamar,US,2022-01-26 01:15:46,33.6668,-95.5836,47.64,42,0,10.36
182,Trairi,BR,2022-01-26 01:18:31,-3.2778,-39.2689,79.39,77,99,8.57
183,Lagoa,PT,2022-01-26 01:18:32,39.05,-27.9833,58.62,82,100,8.75
184,Lebu,CL,2022-01-26 01:04:41,-37.6167,-73.65,58.08,88,0,14.94
185,Kaitangata,NZ,2022-01-26 01:18:32,-46.2817,169.8464,53.01,95,100,6.78
186,Sandy Bay,AU,2022-01-26 01:18:33,-42.913,147.3532,67.05,73,75,8.05
187,Careiro Da Varzea,BR,2022-01-26 01:18:33,-3.2003,-59.8119,79.43,93,100,4.34
188,Arco,IT,2022-01-26 01:18:34,45.9177,10.8867,42.91,64,0,3.49
189,Brainerd,US,2022-01-26 01:18:34,46.358,-94.2008,-5.78,59,0,8.05
190,Golden,US,2022-01-26 01:18:35,39.7555,-105.2211,25.14,86,40,1.01
191,Tori,EE,2022-01-26 01:18:35,58.4825,24.8152,19.81,98,46,2.59
192,Goderich,CA,2022-01-26 01:18:36,43.7501,-81.7165,16.92,85,100,5.75
193,Campo Formoso,BR,2022-01-26 01:18:36,-10.5075,-40.3214,68.31,89,100,2.48
194,Arraial Do Cabo,BR,2022-01-26 01:18:37,-22.9661,-42.0278,76.15,88,0,19.98
195,Vila Franca Do Campo,PT,2022-01-26 01:18:37,37.7167,-25.4333,58.19,79,97,8.61
196,Tuatapere,NZ,2022-01-26 01:18:37,-46.1333,167.6833,55.81,90,91,6.06
197,Ketchikan,US,2022-01-26 01:18:38,55.3422,-131.6461,42.78,93,100,4.61
198,Alta Floresta,BR,2022-01-26 01:18:38,-9.8756,-56.0861,72.05,95,90,2.19
199,Broken Hill,AU,2022-01-26 01:18:39,-31.95,141.4333,86.59,41,9,5.57
200,Imeni Poliny Osipenko,RU,2022-01-26 01:18:39,52.4201,136.4853,-14.15,100,100,1.12
201,Tatarsk,RU,2022-01-26 01:18:40,55.219,75.9828,7.11,98,99,2.53
202,Dolores,AR,2022-01-26 01:18:40,-36.3132,-57.6792,72.45,95,99,5.66
